epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,826.089,2.78615,13.6588,1.36017,0.52992,0.38095,0.16019,0.06579,2.11048,8.61867,1.06532,0.000233509,0.000233509,0.000233509
2,1474.91,2.03444,5.90606,1.07296,0.82109,0.20805,0.28809,0.18455,1.856,6.52784,1.02553,0.00045595,0.00045595,0.00045595
3,2084.76,1.62683,4.25421,0.99362,0.54762,0.39645,0.40352,0.28314,1.59399,4.35608,0.95525,0.000662682,0.000662682,0.000662682
4,2691.65,1.55865,3.1491,0.93445,0.57875,0.32723,0.40012,0.23768,1.78033,3.81839,0.98423,0.000643314,0.000643314,0.000643314
5,3423.17,1.4639,2.67851,0.94684,0.92496,0.4006,0.39598,0.2668,1.54934,3.41122,0.92554,0.000619752,0.000619752,0.000619752
6,4080.55,1.43532,2.26606,0.93534,0.63045,0.36667,0.40478,0.29726,1.52715,3.54384,0.92954,0.00059619,0.00059619,0.00059619
7,4750.05,1.29898,2.04096,0.90457,0.66442,0.42857,0.41043,0.27787,1.37255,2.98319,0.91431,0.000572628,0.000572628,0.000572628
8,5389.76,1.30214,1.74764,0.89854,0.6673,0.42082,0.44914,0.27523,1.44507,2.86565,0.92186,0.000549066,0.000549066,0.000549066
9,6060.03,1.33952,1.71111,0.91906,0.76918,0.40499,0.43888,0.28304,1.67964,2.91467,0.94731,0.000525504,0.000525504,0.000525504
10,6765.06,1.27616,1.68075,0.92146,0.4171,0.46739,0.42774,0.30867,1.81796,2.77192,0.97759,0.000501942,0.000501942,0.000501942
11,7356.18,1.12732,1.45346,0.89068,0.74193,0.369,0.46872,0.31922,1.55467,2.89087,0.93615,0.00047838,0.00047838,0.00047838
12,7964.99,1.16563,1.5076,0.89223,0.65955,0.44314,0.48396,0.3308,1.55677,2.92633,0.92606,0.000454818,0.000454818,0.000454818
13,8690.81,1.15551,1.30132,0.88798,0.46441,0.54762,0.45267,0.30382,1.71182,2.97573,0.964,0.000431256,0.000431256,0.000431256
14,9379.23,1.15832,1.3079,0.88968,0.50514,0.4209,0.42283,0.27592,1.67073,2.97754,0.95197,0.000407694,0.000407694,0.000407694
15,9952.29,1.01437,1.12559,0.85948,0.48531,0.34442,0.4054,0.26917,1.70312,3.10847,0.93205,0.000384132,0.000384132,0.000384132
16,10551.9,1.03232,1.16311,0.86278,0.33165,0.36644,0.39236,0.26118,1.56873,2.93104,0.91601,0.00036057,0.00036057,0.00036057
17,11108.5,1.0096,1.121,0.85201,0.58661,0.46188,0.40482,0.28973,1.49613,2.71505,0.90261,0.000337008,0.000337008,0.000337008
18,11670.4,1.0213,1.15292,0.84929,0.25474,0.41648,0.42882,0.31945,1.43665,2.78257,0.90925,0.000313446,0.000313446,0.000313446
19,12255.7,0.98868,1.12474,0.86432,0.32595,0.6073,0.4309,0.30839,1.44491,2.89784,0.89883,0.000289884,0.000289884,0.000289884
20,12821.6,1.00817,1.07513,0.86254,0.13134,0.71429,0.42121,0.30581,1.28837,2.92331,0.88829,0.000266322,0.000266322,0.000266322
21,13377.4,0.95877,1.06959,0.85977,0.61884,0.21429,0.37878,0.26765,1.38889,3.22842,0.9166,0.00024276,0.00024276,0.00024276
22,13955.1,0.92695,1.04232,0.85239,0.91108,0.2153,0.39425,0.25601,1.56457,3.19112,0.9253,0.000219198,0.000219198,0.000219198
23,14518.6,0.857,0.97528,0.83081,0.44596,0.49483,0.40328,0.29315,1.51757,3.15618,0.91062,0.000195636,0.000195636,0.000195636
24,15084.6,0.84761,0.95905,0.82428,0.31106,0.37518,0.40408,0.28913,1.4216,3.12316,0.89758,0.000172074,0.000172074,0.000172074
25,15641.6,0.88509,0.957,0.84382,0.30867,0.48607,0.39853,0.29374,1.39905,3.12829,0.89283,0.000148512,0.000148512,0.000148512
26,16205.5,0.85621,0.92709,0.8248,0.30158,0.43144,0.40417,0.30272,1.37504,3.1512,0.8853,0.00012495,0.00012495,0.00012495
27,16789.9,0.8262,0.91659,0.83564,0.31091,0.36863,0.41413,0.31537,1.35468,3.07968,0.88319,0.000101388,0.000101388,0.000101388
28,17334.6,0.81457,0.89251,0.83455,0.31224,0.34863,0.40319,0.29176,1.41918,3.13182,0.89265,7.7826e-05,7.7826e-05,7.7826e-05
29,17869.8,0.73639,0.83832,0.83002,0.14098,0.71429,0.42802,0.30697,1.3968,3.11509,0.89313,5.4264e-05,5.4264e-05,5.4264e-05
30,18457.4,0.76608,0.84688,0.82761,0.12628,0.71429,0.41831,0.30487,1.37341,3.11283,0.88914,3.0702e-05,3.0702e-05,3.0702e-05
